Name,Label,confidence of class 0,confidence of class 1,confidence of class 2,confidence of class 3,confidence of class 4,confidence of class 5,confidence of class 6,confidence of class 7,confidence of class 8,confidence of class 9,confidence of class 10,confidence of class 11,confidence of class 12,confidence of class 13,confidence of class 14,confidence of class 15,confidence of class 16,confidence of class 17,confidence of class 18,confidence of class 19
H1_001riNKlIk,5,0,3.49E-16,6.87E-44,1.03E-25,1.22E-34,1,8.93E-21,0,0,4.06E-40,0,0,1.89E-35,0,2.62E-35,1.40E-45,1.49E-10,1.31E-35,2.06E-15,0
H1_008NJx31nR,9,1.11E-15,3.10E-13,1.57E-06,2.72E-06,4.73E-14,1.72E-07,3.92E-14,1.04E-17,8.63E-13,0.999990582,1.21E-10,6.70E-11,2.16E-08,5.43E-20,4.90E-06,1.16E-12,3.27E-08,7.21E-12,1.80E-09,5.83E-18
H1_00cweQNJbb,12,2.04E-22,6.64E-11,1.69E-10,1.46E-08,2.67E-09,5.12E-09,2.47E-13,1.49E-18,0.001069008,1.52E-09,4.42E-14,0.00042382,0.995908976,5.42E-21,9.13E-11,6.47E-25,0.002598098,1.24E-07,4.19E-08,5.54E-20
H1_00Z2V4a4LR,7,2.85E-07,7.90E-05,9.02E-11,3.52E-12,0.000716697,3.49E-08,1.14E-09,0.974767923,8.63E-07,6.34E-12,8.07E-09,3.67E-07,3.93E-07,1.29E-07,1.51E-06,2.64E-11,1.15E-05,0.00080317,6.27E-13,0.02361819
H1_014jQOImrk,12,0,1.83E-13,1.84E-29,8.38E-17,6.71E-07,1.02E-10,7.38E-14,3.02E-39,9.78E-21,2.58E-32,3.09E-37,1.98E-15,0.703569829,0,7.35E-27,0,0.296253353,1.48E-17,0.000176146,0
H1_01aLOlcCYt,12,9.56E-14,1.23E-06,4.42E-10,3.14E-08,5.71E-06,3.45E-07,2.22E-10,2.56E-10,0.226321667,1.23E-07,6.26E-11,0.0079125,0.737223446,1.84E-12,2.43E-06,2.57E-18,0.026362866,0.002169693,3.17E-09,1.73E-11
H1_01gbLp7r5G,3,7.66E-31,8.03E-21,1.22E-08,0.578765512,1.98E-22,2.05E-05,6.96E-16,1.57E-41,1.49E-22,0.006545338,6.66E-21,2.21E-15,4.81E-08,8.50E-39,1.21E-13,2.89E-24,5.53E-05,1.14E-19,0.414613217,3.73E-43
H1_01HBkpHS36,19,0.000157707,1.02E-09,5.70E-10,2.29E-11,1.41E-09,3.29E-11,2.20E-12,0.002208074,2.22E-08,4.08E-08,4.41E-06,1.27E-09,4.08E-10,4.08E-07,2.95E-06,3.55E-08,5.81E-09,6.78E-07,3.59E-15,0.997625768
H1_01RR8v5HAq,12,2.15E-19,1.16E-09,1.11E-10,2.08E-07,9.49E-07,4.95E-07,1.37E-10,5.27E-17,0.017097257,7.83E-10,2.03E-13,0.001627647,0.839748085,2.15E-17,2.14E-09,4.06E-22,0.14149268,3.25E-05,1.79E-07,5.82E-18
H1_01tXn0LKaP,1,6.22E-39,1,2.80E-45,2.75E-40,4.41E-13,2.34E-17,8.22E-23,1.16E-17,1.45E-38,0,0,2.64E-25,1.44E-20,1.76E-42,3.37E-34,0,4.59E-14,4.74E-18,9.62E-29,9.54E-36
