Name,Label,confidence of class 0,confidence of class 1,confidence of class 2,confidence of class 3,confidence of class 4,confidence of class 5,confidence of class 6,confidence of class 7,confidence of class 8,confidence of class 9,confidence of class 10,confidence of class 11,confidence of class 12,confidence of class 13,confidence of class 14,confidence of class 15,confidence of class 16,confidence of class 17,confidence of class 18,confidence of class 19
L1_006VRLdkqX,12,0,2.21E-16,3.74E-25,6.39E-15,5.89E-08,2.65E-11,6.26E-15,2.94E-40,7.99E-15,2.74E-28,4.59E-33,2.94E-11,0.858812034,0,1.84E-25,0,0.141171649,1.71E-14,1.62E-05,1.12E-43
L1_00elCEegkz,7,2.46E-07,1.91E-05,1.68E-13,1.24E-15,9.35E-11,1.11E-08,6.50E-15,0.999971151,1.44E-11,3.10E-12,6.55E-13,9.49E-11,1.80E-11,1.81E-07,3.22E-10,1.48E-14,7.56E-09,1.32E-06,3.95E-17,8.00E-06
L1_00laMLoQkR,15,1.04E-10,1.26E-18,3.78E-13,4.78E-13,1.12E-18,1.25E-16,9.16E-12,5.93E-11,6.09E-18,5.53E-14,4.88E-10,4.29E-18,6.47E-19,1.80E-15,0.002168229,0.995344818,4.86E-10,5.13E-18,1.71E-18,0.002487035
L1_00vTs3nZOL,19,1.42E-07,2.44E-14,9.66E-11,3.70E-10,1.58E-11,3.24E-14,4.00E-11,4.98E-10,7.16E-10,1.50E-09,0.015510938,1.05E-12,3.26E-13,2.14E-11,0.000222572,0.001602482,3.96E-09,8.17E-11,5.82E-15,0.98266381
L1_010tp7CFjC,19,2.08E-06,3.91E-09,2.71E-09,7.02E-11,2.03E-05,4.67E-10,9.72E-11,0.000560427,8.18E-06,2.76E-10,0.000531051,1.15E-08,6.25E-09,4.27E-08,2.11E-06,3.95E-09,2.19E-07,1.32E-05,1.64E-13,0.998862386
L1_01KXBXZ31c,19,1.91E-06,3.37E-12,3.96E-09,9.68E-11,4.91E-10,7.50E-13,2.99E-12,3.49E-07,1.06E-07,2.16E-08,0.036065463,8.72E-11,2.18E-11,1.20E-09,1.37E-06,9.54E-07,1.40E-09,1.16E-08,1.48E-14,0.963929832
L1_01OELgCIdU,1,5.69E-13,0.996205926,2.15E-20,3.31E-21,3.49E-11,3.96E-12,9.70E-17,0.00379322,1.69E-18,1.66E-20,5.36E-24,1.99E-12,2.17E-13,1.25E-13,3.02E-17,1.01E-24,2.96E-09,7.96E-07,1.83E-18,5.69E-12
L1_01rOWDF7m4,19,0.001873704,2.18E-08,6.51E-09,3.44E-10,9.90E-09,3.45E-09,1.60E-11,0.013572934,5.03E-08,1.23E-06,1.66E-05,8.69E-09,4.46E-09,3.93E-06,0.000101431,1.57E-07,8.69E-08,1.43E-05,7.99E-14,0.984415472
L1_01T5gHjoRc,1,2.41E-12,0.999991894,1.17E-20,2.12E-19,1.61E-12,1.63E-12,4.43E-16,8.16E-06,4.95E-20,3.81E-20,3.97E-25,1.10E-12,1.42E-11,3.45E-15,4.33E-16,8.36E-26,3.80E-09,2.08E-08,2.63E-16,7.80E-15
L1_01TahHCA8k,18,3.05E-29,4.06E-21,7.01E-14,0.070121162,7.10E-24,4.88E-07,1.26E-16,3.78E-44,8.31E-28,9.06E-06,7.50E-27,3.72E-19,3.81E-10,4.16E-39,4.50E-17,6.28E-29,3.08E-06,7.87E-20,0.929866135,0
