Name,Duration=Short;short.png,Duration=Long;long.png,Frequency=High;high.png,Frequency=Mid;mid.png,Frequency=Low;low.png,Evolving=Yes;evolve.png,Evolving=No;notevolve.png
Air Compressor (50 Hz),Y,N,N,N,Y,N,Y
Blip,Y,N,N,Y,N,Y,Y
Chirp,Y,Y,N,Y,Y,Y,N
Extremely Loud,N,Y,Y,Y,Y,Y,N
Helix,Y,N,N,Y,N,Y,N
Koi Fish,Y,N,N,Y,Y,Y,N
Light Modulation,N,Y,N,Y,Y,Y,N
Low Frequency Burst,Y,Y,N,N,Y,Y,Y
Low Frequency Line,N,Y,N,N,Y,N,Y
None of the Above,Y,Y,Y,Y,Y,Y,Y
No Glitch,N,N,N,N,N,N,N
Paired Doves,Y,N,N,Y,Y,Y,N
Power Line (60 Hz),Y,N,N,N,Y,N,Y
Repeating Blips,Y,N,N,Y,N,N,Y
Scattered Light,N,Y,N,N,Y,Y,N
Scratchy,N,Y,Y,Y,N,Y,Y
Tomte,Y,N,N,N,Y,Y,N
Violin Mode Harmonic (500 Hz),Y,N,Y,N,N,N,Y
Wandering Line,N,Y,Y,N,N,Y,N
Whistle,Y,Y,Y,N,N,Y,N
